Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
55,1,0.1046,1.5949e+02,8.1674e+01,1.27,2.5405e+00,90.85,2.4725e-01,3.21,0.2
56,1,0.0987,8.0362e+01,5.2164e+01,1.08,1.5033e+00,136.87,2.0965e-01,3.01,0.1
57,1,0.0916,7.3950e+01,4.7876e+01,1.00,1.4799e+00,101.95,1.5674e-01,2.54,0.2
58,1,0.0914,7.4015e+01,4.5842e+01,0.96,1.5110e+00,101.80,1.7462e-01,2.69,0.2
59,1,0.0895,1.1840e+02,6.0152e+01,0.99,1.7765e+00,99.70,2.1809e-01,2.93,0.2
60,1,0.0896,7.4538e+01,4.8010e+01,0.94,1.8093e+00,102.46,1.7030e-01,2.57,0.2
61,1,0.0894,7.3282e+01,4.8570e+01,0.95,1.7371e+00,102.17,1.7616e-01,2.67,0.2
62,1,0.0902,8.2646e+01,5.5826e+01,0.97,1.4719e+00,101.72,1.8416e-01,2.72,0.2
63,1,0.0923,7.2781e+01,4.7690e+01,0.85,1.9330e+00,96.74,1.8594e-01,2.68,0.2
64,1,0.0923,8.4713e+01,5.4135e+01,0.93,1.8950e+00,101.51,1.7466e-01,2.70,0.2
65,1,0.0895,6.6866e+01,4.9434e+01,1.01,1.3308e+00,114.23,2.0106e-01,3.00,0.2
66,1,0.0891,6.5683e+01,4.5973e+01,0.91,1.4883e+00,95.37,1.6077e-01,2.57,0.2
67,1,0.0875,8.3505e+01,4.7477e+01,0.92,1.2586e+00,95.80,1.8790e-01,2.61,0.2
68,1,0.0912,1.0322e+02,5.6377e+01,0.94,1.8403e+00,93.54,2.3049e-01,3.19,0.2
69,1,0.1027,2.1749e+02,9.8832e+01,1.37,3.1243e+00,121.20,2.9974e-01,3.42,0.2
70,1,0.0996,1.9077e+02,8.8106e+01,1.23,3.4764e+00,101.46,2.7248e-01,3.43,0.2
71,1,0.0978,7.3289e+01,4.2173e+01,0.93,1.3908e+00,96.88,1.6821e-01,2.67,0.2
72,1,0.0894,7.9840e+01,4.4043e+01,0.80,1.5881e+00,94.70,1.5750e-01,2.51,0.2
73,1,0.0887,7.7063e+01,5.1212e+01,0.90,1.9415e+00,102.23,1.7713e-01,2.55,0.2
74,1,0.0877,7.1346e+01,5.3763e+01,1.03,2.1568e+00,110.29,2.3669e-01,3.34,0.2
75,1,0.0902,1.1721e+02,6.7780e+01,0.96,3.2044e+00,100.20,2.5743e-01,3.14,0.2
76,1,0.0908,8.4037e+01,5.0924e+01,0.94,1.7295e+00,107.77,2.1561e-01,3.05,0.2
77,1,0.0895,8.2742e+01,5.0738e+01,0.91,1.6912e+00,93.85,2.1536e-01,2.90,0.2
78,1,0.0897,9.8761e+01,4.8510e+01,0.85,1.5176e+00,95.63,1.8556e-01,2.44,0.2
79,1,0.0877,6.0988e+01,4.1324e+01,0.78,1.3260e+00,92.80,1.5862e-01,2.38,0.1
80,1,0.0859,7.3005e+01,3.8446e+01,0.71,1.3599e+00,92.16,1.5481e-01,2.30,0.2
81,1,0.0857,7.0150e+01,4.4127e+01,0.78,1.5414e+00,98.39,1.4311e-01,2.23,0.2
82,1,0.0864,7.0769e+01,3.9173e+01,0.72,1.1344e+00,91.16,1.5425e-01,2.35,0.2
83,1,0.0869,5.4026e+01,3.4214e+01,0.72,1.1903e+00,92.80,1.6561e-01,2.33,0.1
84,1,0.0853,6.8361e+01,4.3614e+01,0.79,1.7340e+00,92.63,1.5932e-01,2.41,0.2
85,1,0.0853,5.9839e+01,3.6334e+01,0.72,1.0992e+00,91.60,1.5639e-01,2.57,0.2
86,1,0.0853,5.3155e+01,3.3069e+01,0.67,1.1106e+00,93.25,1.5743e-01,2.21,0.2
87,1,0.0849,5.3384e+01,3.4571e+01,0.72,1.3805e+00,89.71,1.4899e-01,2.31,0.2
88,1,0.0848,5.0764e+01,3.2291e+01,0.71,1.1381e+00,90.97,1.3628e-01,2.20,0.2
89,1,0.0851,5.6014e+01,3.3649e+01,0.68,1.2485e+00,100.24,1.4318e-01,2.21,0.2
90,1,0.0849,6.0706e+01,3.4868e+01,0.69,1.5636e+00,101.14,1.5036e-01,2.26,0.2
91,1,0.0851,4.9647e+01,3.4154e+01,0.69,1.3856e+00,90.57,1.3883e-01,2.23,0.2
92,1,0.0846,5.1820e+01,3.2078e+01,0.67,1.1835e+00,89.00,1.3818e-01,2.23,0.2
93,1,0.0849,4.7739e+01,3.3203e+01,0.67,1.2508e+00,86.29,1.4528e-01,2.24,0.2
94,1,0.0850,6.1166e+01,4.0249e+01,0.76,1.5572e+00,85.60,1.5368e-01,2.30,0.2
95,1,0.0850,4.9398e+01,3.2696e+01,0.69,1.4551e+00,88.78,1.3362e-01,2.14,0.2
96,1,0.0844,4.7324e+01,3.1459e+01,0.65,1.2576e+00,86.61,1.3190e-01,2.21,0.2
97,1,0.0843,4.6502e+01,3.3073e+01,0.71,1.5733e+00,89.19,1.4440e-01,2.23,0.2
98,1,0.0840,4.6487e+01,3.0219e+01,0.64,1.3970e+00,84.79,1.2424e-01,2.13,0.2
99,1,0.0841,4.4128e+01,3.0435e+01,0.67,1.5036e+00,86.89,1.2860e-01,2.11,0.2
100,1,0.0837,4.6163e+01,3.0181e+01,0.65,1.3244e+00,83.78,1.3323e-01,2.16,0.2
101,1,0.0840,5.2137e+01,3.4509e+01,0.69,1.5057e+00,92.97,1.4602e-01,2.19,0.2
102,1,0.0843,7.1458e+01,3.8002e+01,0.67,1.2105e+00,85.47,1.4137e-01,2.37,0.2
