Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
53,1,0.0217,2.1636e+02,2.3832e+01,0.43,2.9536e+01,11456.52,1.8656e+02,2911.54,0.2
54,1,0.0228,2.1390e+02,2.1447e+01,0.38,2.9300e+01,11448.17,1.8611e+02,2899.69,0.2
55,1,0.0371,2.1447e+02,2.6555e+01,0.44,2.9249e+01,11429.59,1.8593e+02,2916.30,0.2
56,1,0.0212,2.1327e+02,2.4646e+01,0.50,2.9477e+01,11459.57,1.8649e+02,2920.89,0.2
57,1,0.0269,2.1433e+02,2.2154e+01,0.34,2.9004e+01,11441.17,1.8482e+02,2889.66,0.2
58,1,0.0329,2.4308e+02,5.1371e+01,0.66,2.9820e+01,11401.77,1.8837e+02,2926.59,0.2
59,1,0.0288,2.6697e+02,6.2358e+01,0.60,3.0106e+01,11414.76,1.8928e+02,2930.19,0.2
60,1,0.0321,2.2536e+02,4.0868e+01,0.57,2.9531e+01,11416.50,1.8796e+02,2935.20,0.2
61,1,0.0231,2.1748e+02,3.2790e+01,0.56,2.9525e+01,11479.73,1.8414e+02,2896.17,0.2
62,1,0.0244,2.2258e+02,4.2591e+01,0.63,2.9387e+01,11474.57,1.8329e+02,2879.11,0.2
63,1,0.0262,2.1666e+02,2.5414e+01,0.37,2.9457e+01,11440.20,1.8432e+02,2891.05,0.2
64,1,0.0245,2.1347e+02,1.9132e+01,0.36,2.9479e+01,11421.06,1.8566e+02,2907.84,0.2
65,1,0.0317,2.6894e+02,7.9875e+01,0.88,2.9538e+01,11421.59,1.8052e+02,2857.76,0.2
66,1,0.0656,2.1641e+02,2.1466e+01,0.34,2.9296e+01,11449.87,1.8638e+02,2906.86,0.2
67,1,0.0359,2.1268e+02,1.8240e+01,0.30,2.9226e+01,11433.97,1.8476e+02,2892.76,0.2
68,1,0.0243,2.1227e+02,1.7501e+01,0.33,2.9477e+01,11422.70,1.8540e+02,2902.36,0.2
69,1,0.0299,2.1318e+02,1.9447e+01,0.31,2.9146e+01,11418.16,1.8554e+02,2904.16,0.2
70,1,0.0324,2.8958e+02,8.9674e+01,0.85,2.9801e+01,11454.78,1.7968e+02,2849.67,0.2
71,1,0.0478,3.0190e+02,9.2891e+01,0.86,3.0592e+01,11380.24,1.9133e+02,2948.41,0.2
72,1,0.0446,2.5555e+02,6.7524e+01,0.84,2.9757e+01,11496.57,1.8188e+02,2872.07,0.2
73,1,0.0416,2.7536e+02,8.6859e+01,0.86,3.0356e+01,11436.89,1.9103e+02,2958.46,0.2
74,1,0.0314,2.1515e+02,2.5090e+01,0.39,2.9493e+01,11422.10,1.8675e+02,2918.24,0.2
75,1,0.0185,2.1509e+02,2.7283e+01,0.43,2.9475e+01,11463.77,1.8399e+02,2884.91,0.2
76,1,0.0163,2.1300e+02,2.0195e+01,0.39,2.9469e+01,11425.62,1.8646e+02,2916.64,0.2
77,1,0.0225,2.1620e+02,2.9544e+01,0.53,2.9161e+01,11394.88,1.8409e+02,2887.08,0.2
78,1,0.0229,2.2933e+02,3.6356e+01,0.41,2.9702e+01,11453.35,1.8342e+02,2888.82,0.2
79,1,0.0225,2.8655e+02,8.4276e+01,0.79,2.9937e+01,11472.60,1.8026e+02,2856.52,0.2
80,1,0.0649,2.7837e+02,6.9817e+01,0.65,2.9980e+01,11405.47,1.8124e+02,2882.45,0.2
81,1,0.0332,2.1946e+02,3.1221e+01,0.49,2.9578e+01,11415.00,1.8728e+02,2915.72,0.2
82,1,0.0253,2.1679e+02,2.5692e+01,0.35,2.9355e+01,11463.07,1.8418e+02,2892.75,0.2
83,1,0.0179,2.1396e+02,2.0019e+01,0.35,2.9322e+01,11423.83,1.8631e+02,2908.54,0.2
84,1,0.0128,2.1198e+02,1.3930e+01,0.25,2.9269e+01,11420.61,1.8589e+02,2904.24,0.2
85,1,0.0131,2.1516e+02,1.8363e+01,0.25,2.9365e+01,11430.29,1.8644e+02,2909.14,0.2
86,1,0.0148,2.1129e+02,1.2104e+01,0.25,2.9314e+01,11423.94,1.8595e+02,2910.16,0.2
87,1,0.0107,2.1119e+02,1.4956e+01,0.25,2.9327e+01,11445.52,1.8482e+02,2896.11,0.2
88,1,0.0098,2.1073e+02,1.1180e+01,0.22,2.9346e+01,11438.82,1.8523e+02,2900.58,0.2
89,1,0.0092,2.1206e+02,1.2508e+01,0.23,2.9334e+01,11432.33,1.8586e+02,2900.75,0.2
90,1,0.0129,2.1045e+02,1.0575e+01,0.21,2.9329e+01,11436.33,1.8521e+02,2897.73,0.2
91,1,0.0136,2.1184e+02,1.3094e+01,0.22,2.9192e+01,11426.63,1.8563e+02,2900.68,0.2
92,1,0.0116,2.1724e+02,1.9952e+01,0.25,2.9366e+01,11423.13,1.8646e+02,2906.71,0.2
93,1,0.0109,2.2203e+02,3.2427e+01,0.33,2.9439e+01,11424.68,1.8353e+02,2886.22,0.2
94,1,0.0205,2.8085e+02,6.8030e+01,0.53,3.0201e+01,11423.32,1.8975e+02,2929.50,0.2
95,1,0.0359,2.1509e+02,2.2057e+01,0.36,2.9479e+01,11438.12,1.8494e+02,2908.13,0.2
96,1,0.0305,2.3275e+02,4.0912e+01,0.45,2.9462e+01,11428.09,1.8311e+02,2882.47,0.2
97,1,0.0300,2.4222e+02,4.9443e+01,0.50,2.9657e+01,11438.99,1.8232e+02,2878.20,0.2
98,1,0.0326,2.2810e+02,4.0432e+01,0.46,2.9595e+01,11409.58,1.8790e+02,2921.90,0.2
99,1,0.0164,2.1394e+02,1.9136e+01,0.28,2.9395e+01,11444.11,1.8647e+02,2910.76,0.2
100,1,0.0116,2.1094e+02,1.1333e+01,0.22,2.9292e+01,11435.05,1.8557e+02,2902.51,0.2
101,1,0.0100,2.1135e+02,1.1455e+01,0.20,2.9367e+01,11429.59,1.8586e+02,2906.39,0.2
102,1,0.0100,2.1081e+02,1.0413e+01,0.20,2.9220e+01,11431.14,1.8543e+02,2899.22,0.2
103,1,0.0090,2.1068e+02,8.9428e+00,0.18,2.9287e+01,11434.12,1.8547e+02,2899.92,0.2
104,1,0.0080,2.1054e+02,9.9761e+00,0.19,2.9275e+01,11436.12,1.8530e+02,2900.77,0.2
105,1,0.0082,2.1098e+02,1.4005e+01,0.22,2.9314e+01,11435.61,1.8482e+02,2895.38,0.2
106,1,0.0111,2.1229e+02,1.2626e+01,0.20,2.9382e+01,11427.58,1.8602e+02,2904.81,0.2
107,1,0.0090,2.1146e+02,1.0549e+01,0.21,2.9298e+01,11436.23,1.8595e+02,2906.88,0.2
108,1,0.0081,2.1060e+02,1.2193e+01,0.20,2.9301e+01,11439.41,1.8492e+02,2895.85,0.2
109,1,0.0112,2.2120e+02,2.6746e+01,0.28,2.9485e+01,11423.00,1.8707e+02,2913.96,0.2
110,1,0.0129,2.1047e+02,8.7707e+00,0.19,2.9288e+01,11441.29,1.8543e+02,2900.36,0.2
