Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
53,1,0.1165,3.4962e+02,1.1546e+02,3.21,1.5101e+02,37460.12,1.3421e+02,2091.05,0.3
54,1,0.1291,3.5514e+02,1.1277e+02,2.59,1.4608e+02,36406.64,1.2903e+02,2042.91,0.3
55,1,0.1648,3.3999e+02,1.4132e+02,4.26,1.4835e+02,38270.35,1.3173e+02,2071.39,0.3
56,1,0.1667,3.2602e+02,1.1973e+02,3.38,1.5192e+02,37012.17,1.3524e+02,2114.23,0.3
57,1,0.1213,3.4523e+02,1.0405e+02,2.63,1.4957e+02,36727.79,1.3262e+02,2065.78,0.3
58,1,0.0969,3.2216e+02,8.3026e+01,2.21,1.4787e+02,36322.82,1.3079e+02,2044.27,0.3
59,1,0.1109,3.2410e+02,1.2412e+02,4.28,1.4931e+02,37887.73,1.3248e+02,2072.76,0.3
60,1,0.1415,3.7462e+02,1.5768e+02,3.83,1.5525e+02,36581.99,1.3859e+02,2147.27,0.3
61,1,0.1410,5.0089e+02,1.4706e+02,2.46,1.5346e+02,37311.21,1.3658e+02,2089.15,0.3
62,1,0.1349,3.7754e+02,1.2802e+02,2.41,1.4425e+02,36377.76,1.2716e+02,2023.68,0.3
63,1,0.1531,3.1979e+02,1.2082e+02,3.51,1.4454e+02,34608.15,1.2722e+02,2000.15,0.3
64,1,0.1397,3.4909e+02,1.2010e+02,3.17,1.4765e+02,37637.26,1.3074e+02,2061.71,0.3
65,1,0.1253,3.2513e+02,9.0705e+01,2.37,1.4827e+02,36444.64,1.3137e+02,2060.60,0.3
66,1,0.1033,3.1603e+02,7.4803e+01,1.86,1.4769e+02,36696.24,1.3068e+02,2049.40,0.3
67,1,0.0924,4.4628e+02,2.1145e+02,3.66,1.4019e+02,35791.31,1.2271e+02,1949.68,0.3
68,1,0.1667,4.1777e+02,2.1623e+02,6.38,1.4908e+02,33513.44,1.3187e+02,2053.44,0.3
69,1,0.1856,6.0949e+02,2.5244e+02,4.17,1.5683e+02,34918.84,1.4025e+02,2151.39,0.2
70,1,0.1507,4.4450e+02,1.5190e+02,3.53,1.4660e+02,36894.92,1.2972e+02,2067.17,0.2
