Epoch,Stage,Train_Loss,Val_Phys_RMSE,M1_MAE,M1_RelErr(%),M2_MAE,M2_RelErr(%),M3_MAE,M3_RelErr(%),Time_Cost(s)
54,1,0.4436,4.2372e+02,3.7070e+02,10.25,3.5399e+01,14109.71,3.0826e+01,461.96,0.2
55,1,0.4242,7.4500e+02,5.9804e+02,12.62,3.7840e+01,13963.85,2.8769e+01,432.45,0.2
56,1,0.5498,8.4711e+02,4.9642e+02,12.41,3.5688e+01,12917.94,3.1361e+01,446.37,0.2
57,1,0.5854,4.5568e+02,5.5453e+02,17.86,4.2481e+01,18018.27,3.6547e+01,564.11,0.2
58,1,0.4745,3.2599e+02,2.9499e+02,8.96,3.5975e+01,14596.07,3.2081e+01,479.31,0.2
59,1,0.3545,3.6400e+02,4.1988e+02,12.56,3.9530e+01,15849.77,3.4967e+01,530.59,0.2
60,1,0.3211,3.0513e+02,2.8284e+02,8.53,3.4701e+01,14282.26,3.2125e+01,475.24,0.2
61,1,0.3098,3.9628e+02,3.1391e+02,8.35,3.5620e+01,14013.14,3.1618e+01,478.89,0.2
62,1,0.3714,5.3011e+02,3.8574e+02,9.82,3.6195e+01,13790.84,3.0599e+01,464.74,0.2
63,1,0.3485,6.3677e+02,4.7814e+02,10.34,3.7318e+01,13774.83,3.0036e+01,451.01,0.2
64,1,0.3721,4.5769e+02,3.8808e+02,10.42,3.4437e+01,13497.07,3.1995e+01,463.95,0.2
65,1,0.3252,5.4247e+02,3.9920e+02,11.16,3.9478e+01,15527.90,3.2346e+01,486.16,0.2
66,1,0.3225,3.7612e+02,3.2547e+02,9.02,3.5629e+01,14437.46,3.1030e+01,463.70,0.2
67,1,0.3279,4.2610e+02,3.5589e+02,9.54,3.4966e+01,13722.14,3.0747e+01,460.67,0.2
68,1,0.3401,5.6053e+02,4.0739e+02,8.96,3.7476e+01,14573.84,3.0716e+01,464.60,0.2
69,1,0.2625,5.4671e+02,2.9394e+02,8.18,3.6547e+01,15210.22,3.3852e+01,497.59,0.2
70,1,0.2511,1.5694e+03,6.1901e+02,9.44,4.0564e+01,14724.98,3.6127e+01,520.59,0.2
71,1,0.3400,2.9762e+02,2.4683e+02,7.44,3.5611e+01,13877.81,3.2630e+01,488.67,0.2
72,1,0.3607,5.8463e+02,3.6145e+02,8.77,3.8968e+01,14917.99,3.1970e+01,484.23,0.2
73,1,0.2960,1.2171e+03,5.5786e+02,10.62,3.7554e+01,13927.93,3.4496e+01,505.20,0.2
74,1,0.3592,3.7332e+02,3.2736e+02,9.41,3.6265e+01,15690.95,3.4658e+01,521.79,0.2
75,1,0.3054,1.0012e+03,5.0361e+02,9.88,3.9657e+01,14976.40,3.5847e+01,530.33,0.2
76,1,0.4133,3.9439e+02,4.1192e+02,12.27,3.4423e+01,13130.58,2.9774e+01,442.66,0.2
77,1,0.3903,3.3975e+02,3.3942e+02,10.13,3.5810e+01,13651.32,3.3017e+01,510.10,0.2
78,1,0.3727,3.2223e+02,3.1723e+02,10.33,3.7525e+01,15680.16,3.4294e+01,513.80,0.2
79,1,0.3255,5.3899e+02,3.6659e+02,8.17,3.7485e+01,15623.92,3.1776e+01,492.64,0.2
80,1,0.3254,7.0907e+02,5.3427e+02,12.60,3.5535e+01,13336.99,3.3735e+01,506.43,0.2
81,1,0.3972,6.0574e+02,4.5538e+02,10.61,3.6787e+01,12553.80,3.0236e+01,459.71,0.2
82,1,0.3840,5.1090e+02,3.4558e+02,11.12,3.9495e+01,16677.42,3.3278e+01,501.61,0.2
83,1,0.2501,3.0644e+02,2.4435e+02,7.57,3.5712e+01,14316.97,3.2093e+01,483.84,0.2
84,1,0.2056,3.3586e+02,2.2061e+02,6.76,3.4907e+01,14326.71,3.2638e+01,489.17,0.2
85,1,0.2017,2.9554e+02,2.1699e+02,6.46,3.5969e+01,14995.02,3.2583e+01,493.71,0.2
86,1,0.2084,3.1851e+02,2.6309e+02,7.64,3.5172e+01,14417.65,3.1740e+01,480.56,0.2
87,1,0.2241,4.5325e+02,3.0515e+02,7.55,3.5962e+01,15366.16,3.4721e+01,522.19,0.2
